MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Monbulk Road,MOUNT EVELYN,ABCD,T
Mont Albert Road,CANTERBURY,C,2024-06-01 00:00:00
Montague Street,SOUTH MELBOURNE,ABCD,2024-06-01 00:00:00
Montague Street,ALBERT PARK,BCD,2024-06-01 00:00:00
Moore Street,MOE,ABC,2024-02-01 00:00:00
Moore Street,WARRNAMBOOL,C,2024-10-01 00:00:00
Moorooduc Highway,MOUNT ELIZA,ABCD,T
Mooroopna-Murchison Road,MURCHISON,BC,2024-08-01 00:00:00
Mooroopna-Murchison Road,OLD TOOLAMBA,BC,2024-08-01 00:00:00
Moran Street,PICOLA,BC,2024-10-01 00:00:00
Moran Street,LONG GULLY,BCD,2024-10-01 00:00:00
Morang Drive,MILL PARK,C,2024-08-01 00:00:00
Moray Street,SOUTH MELBOURNE,BCD,2024-06-01 00:00:00
Moreland Road,BRUNSWICK,C,2024-08-01 00:00:00
Moreland Street,FOOTSCRAY,ABCD,2023-09-01 00:00:00
Mornington Peninsula Freeway,ROSEBUD,ABC,2024-09-01 00:00:00
Mornington Peninsula Freeway,DROMANA,ABCD,2024-09-01 00:00:00
Mornington Peninsula Freeway,PATTERSON LAKES,ABCD,T
Mornington Peninsula Freeway,MCCRAE,C,2024-09-01 00:00:00
Mornington Peninsula Freeway,CHELSEA HEIGHTS,C,T
Mornington Peninsula Freeway,BANGHOLME,C,T
Mornington-Tyabb Road,TYABB,ABCD,2024-09-01 00:00:00
Morpung Avenue,IRYMPLE,BC,2024-08-01 00:00:00
Morris Road,HOPPERS CROSSING,C,2023-08-01 00:00:00
Mortlake-Ararat Road,DENICULL CREEK,C,2024-10-01 00:00:00
Mortlake-Ararat Road,MAROONA,C,2024-10-01 00:00:00
Mossfiel Drive,HOPPERS CROSSING,C,2023-08-01 00:00:00
Mount Buffalo Road,POREPUNKAH,BC,T
Mount Buller Road,MERRIJIG,ABC,2024-10-01 00:00:00
Mount Buller Road,SAWMILL SETTLEMENT,ABC,2024-10-01 00:00:00
Mount Buller Road,MANSFIELD,AC,2024-10-01 00:00:00
Mount Dandenong Road,CROYDON,ABC,2024-05-02 00:00:00
Mount Dandenong Tourist Road,MONTROSE,ABC,2024-05-02 00:00:00
Mount Macedon Road,WOODEND,C,2024-05-02 00:00:00
Mount Pleasant Road,ELTHAM,BC,2024-08-01 00:00:00
Mount Ridley Road,CRAIGIEBURN,AC,2024-08-01 00:00:00
Mt Alexander Road,ESSENDON,ABC,2024-08-01 00:00:00
Mt Buller Road,MERRIJIG,BCD,2024-10-01 00:00:00
Mt DERRIMUT Road,DERRIMUT,BCD,2024-06-01 00:00:00
Mt Ridley Road,MICKLEHAM,ABC,2024-08-01 00:00:00
Murchison-Tatura Road,DHURRINGILE,BC,2024-08-01 00:00:00
Murchison-Tatura Road,TATURA,BC,2024-08-01 00:00:00
Murchison-Violet Town Road,ARCADIA SOUTH,AC,2024-08-01 00:00:00
Murchison-Violet Town Road,MURCHISON EAST,BC,2024-08-01 00:00:00
Murchison-Violet Town Road,MIEPOLL,C,2024-08-01 00:00:00
Murdoch Road,WANGARATTA,BC,T
Murphy Street,EAST BENDIGO,C,2024-10-01 00:00:00
Murray Parade,KOONDROOK,C,T
Murray Road,COBURG,C,2024-08-01 00:00:00
Murray Valley  Highway,BEVERFORD,BC,T
Murray Valley Highway,TORRUMBARRY,ABC,2024-05-02 00:00:00
Murray Valley Highway,COBRAM EAST,ABC,2024-10-01 00:00:00
Murray Valley Highway,STRATHMERTON,ABC,2024-10-01 00:00:00
Murray Valley Highway,BARNAWARTHA NORTH,ABC,2024-10-01 00:00:00
Murray Valley Highway,BRIMIN,ABC,2024-10-01 00:00:00
Murray Valley Highway,BROWNS PLAINS,ABC,2024-10-01 00:00:00
Murray Valley Highway,BARAWARTHA,ABCD,2024-08-01 00:00:00
Murray Valley Highway,KOTUPNA,ABCD,2024-10-01 00:00:00
Murray Valley Highway,NATHALIA,ABCD,2024-10-01 00:00:00
Murray Valley Highway,YARRAWONGA,ABCD,2024-10-01 00:00:00
Murray Valley Highway,BAREP,ACD,2024-05-02 00:00:00
Murray Valley Highway,ECHUCA,ACD,2024-05-02 00:00:00
Murray Valley Highway,PEDERICK,ACD,2024-05-02 00:00:00
Murray Valley Highway,BUNDALONG,ACD,2024-10-01 00:00:00
Murray Valley Highway,COHUNA,BC,2023-09-01 00:00:00
Murray Valley Highway,MEAD,BC,2023-09-01 00:00:00
Murray Valley Highway,WEE WEE RUP,BC,2023-09-01 00:00:00
Murray Valley Highway,WOOD WOOD,BC,2023-09-01 00:00:00
Murray Valley Highway,GUNBOWER,BC,2024-05-02 00:00:00
Murray Valley Highway,LEITCHVILLE,BC,2024-05-02 00:00:00
Murray Valley Highway,WHARPARILLA,BC,2024-05-02 00:00:00
Murray Valley Highway,BEVERFORD,BC,2024-08-01 00:00:00
Murray Valley Highway,KENLEY,BC,2024-08-01 00:00:00
Murray Valley Highway,LAKE BOGA,BC,2024-08-01 00:00:00
Murray Valley Highway,NYAH,BC,2024-08-01 00:00:00
Murray Valley Highway,SWAN HILL,BC,2024-08-01 00:00:00
Murray Valley Highway,BARNAWARTHA,BC,2024-10-01 00:00:00
Murray Valley Highway,BERRINGAMA,BC,2024-10-01 00:00:00
Murray Valley Highway,CUDGEWA,BC,2024-10-01 00:00:00
Murray Valley Highway,TALLANGATTA,BC,2024-10-01 00:00:00
Murray Valley Highway,FAIRLEY,C,2023-09-01 00:00:00
Murray Valley Highway,KERANG,C,2023-09-01 00:00:00
Murray Valley Highway,KERANG EAST,C,2023-09-01 00:00:00
Murray Valley Highway,LAKE CHARM,C,2023-09-01 00:00:00
Murray Valley Highway,TRESCO,C,2023-09-01 00:00:00
Murray Valley Highway,VINIFERA,C,2023-09-01 00:00:00
Murray Valley Highway,BOUNDARY BEND,C,2024-08-01 00:00:00
Murray Valley Highway,LAKE POWELL,C,2024-08-01 00:00:00
Murray Valley Highway,NARRUNG,C,2024-08-01 00:00:00
Murray Valley Highway,PIAMBIE,C,2024-08-01 00:00:00
Murray Valley Highway,PIANGIL,C,2024-08-01 00:00:00
Murray Valley Highway,BONEGILLA,C,2024-10-01 00:00:00
Murray Valley Highway,BULLIOH,C,2024-10-01 00:00:00
Murray Valley Highway,CORRYONG,C,2024-10-01 00:00:00
Murray Valley Highway,EBDEN,C,2024-10-01 00:00:00
Murray Valley Highway,RED BLUFF,C,2024-10-01 00:00:00
Murray Valley Highway,MYSTIC PARK,C,T
Murray Valley Highway,ROBINVALE,C,T
Murray Valley Highway,ECHUCA VILLAGE,CD,2024-05-02 00:00:00
Murray Valley Highway,BURRAMINE,CD,2024-10-01 00:00:00
Murray Valley Hwy,TOWONG UPPER,C,2024-10-01 00:00:00
Murrumbeena Road,MURRUMBEENA,C,2024-03-01 00:00:00
Must Street,PORTLAND,C,T
Myers Road,BITTERN,BC,2024-09-01 00:00:00
Myrtle Street,MYRTLEFORD,ABCD,2024-09-01 00:00:00
Myrtlebank Road,MYRTLEBANK,ABC,2023-12-01 00:00:00
Myrtleford-Yackandandah Road,MUDGEGONGA,BC,2024-03-01 00:00:00
Napier Street,STRATHMORE,C,2024-08-01 00:00:00
Napoleon Road,ROWVILLE,ABC,2024-02-01 00:00:00
Narracan Drive,NEWBOROUGH,ABCD,2024-09-01 00:00:00
Navigators Road,NAVIGATORS,ABCD,2024-08-01 00:00:00
Neale Road,DEER PARK,BCD,2024-06-01 00:00:00
Nelson Road,LILYDALE,BCD,2024-05-02 00:00:00
Nepean Highway,DROMANA,ABC,2024-09-01 00:00:00
Nepean Highway,FRANKSTON SOUTH,ABC,2024-09-01 00:00:00
Nepean Highway,MORNINGTON,ABC,2024-09-01 00:00:00
Nepean Highway,MOUNT ELIZA,ABC,2024-09-01 00:00:00
Nepean Highway,CHELSEA,ABCD,2023-09-01 00:00:00
Nepean Highway,BRIGHTON EAST,ABCD,2024-03-01 00:00:00
Nepean Highway,EDITHVALE,ABCD,2024-03-01 00:00:00
Nepean Highway,SEAFORD,ABCD,2024-09-01 00:00:00
Nepean Highway,MENTONE,ABCD,T
Nepean Highway,ELSTERNWICK,C,2024-03-01 00:00:00
Nepean Highway,PARKDALE,C,2024-06-01 00:00:00
Nepean Highway Service Road,MORNINGTON,BCD,2024-09-01 00:00:00
Nerowie Road,PARWAN,C,2024-05-02 00:00:00
New Dookie Road,GRAHAMVALE,BC,2024-08-01 00:00:00
Newcastle Street,PRESTON,BCD,2024-06-01 00:00:00
Newlands Road,COBURG,ABC,2024-08-01 00:00:00
Newlands Road,RESERVOIR,BCD,2024-08-01 00:00:00
Newlands Road,COBURG NORTH,C,2024-08-01 00:00:00
Nicholson Street,COBURG,ABCD,2024-08-01 00:00:00
Nicholson Street,BRUNSWICK EAST,BCD,2024-08-01 00:00:00
Ninth Street,MILDURA,ABCD,2024-08-01 00:00:00
Noble Street,NOBLE PARK,CD,2024-08-01 00:00:00
Nolan Street,NORTH BENDIGO,ABCD,2024-10-01 00:00:00
Norman Street,WENDOUREE,C,2024-08-01 00:00:00
Normanby Avenue,THORNBURY,C,2024-08-01 00:00:00
Normanby Drive,GREENVALE,BC,2024-08-01 00:00:00
Normanby Street,WARRAGUL,BC,T
North Boundary Road,HAMILTON,C,2024-10-01 00:00:00
North Road,LANGWARRIN,ABC,2024-09-01 00:00:00
North Road,PEARCEDALE,B,2024-04-01 00:00:00
North Road,BRIGHTON EAST,C,2024-06-01 00:00:00
Northern Highway,MYOLA,ABC,2024-05-02 00:00:00
Northern Highway,PYALONG,ABC,2024-08-01 00:00:00
Northern Highway,KILMORE,ABCD,2024-08-01 00:00:00
Northern Highway,WALLAN,ABCD,T
Northern Highway,ARGYLE,AC,2024-10-01 00:00:00
Northern Highway,LADYS PASS,AC,2024-10-01 00:00:00
Northern Highway,TOOLLEEN,AC,2024-10-01 00:00:00
NORTHERN Highway,ELMORE,ACD,2024-10-01 00:00:00
Northern Highway,TOOBORAC,BC,2024-08-01 00:00:00
Northern Highway,ELMORE,BCD,2024-10-01 00:00:00
Northern Highway,BYLANDS,C,2024-08-01 00:00:00
Northern Highway,HIGH CAMP,C,2024-08-01 00:00:00
Northern Highway Offramp,BEVERIDGE,ABCD,T
Northgate Drive,THOMASTOWN,ABCD,2024-08-01 00:00:00
Northumberland Road,PASCOE VALE,ABC,2024-08-01 00:00:00
Northumberland Road,SUNSHINE NORTH,BCD,2024-05-02 00:00:00
Novara Parade,ST ALBANS,BC,2024-06-01 00:00:00
Oak Street,PARKVILLE,ABC,2024-08-01 00:00:00
Oaklands Road,GREENVALE,ABCD,T
Oaklands Road,BULLA,AC,2024-08-01 00:00:00
Oaklands Road,OAKLANDS JUNCTION,BC,2024-08-01 00:00:00
Oakwood Road,ALBANVALE,C,2024-06-01 00:00:00
Oberon Avenue,ST ALBANS,C,2024-05-02 00:00:00
Ogilvie Avenue,ECHUCA,C,2024-05-02 00:00:00
O'Gradys Road,CARRUM DOWNS,ABC,2024-09-01 00:00:00
O'Gradys Road,KILMORE EAST,C,2024-08-01 00:00:00
O'Herns Road,EPPING,BCD,2024-08-01 00:00:00
Old Calder Highway,KEILOR,BCD,2024-06-01 00:00:00
Old Dandenong Road,OAKLEIGH SOUTH,C,2024-06-01 00:00:00
Old Geelong Road,HOPPERS CROSSING,ABCD,T
Old Geelong Road,LAVERTON NORTH,ABCD,T
Old Melbourne Road,TRARALGON,ABC,2024-02-01 00:00:00
Old Melbourne Road,GORDON,ABCD,2024-08-01 00:00:00
Old Sale Road,DROUIN WEST,C,T
Old Warrandyte Road,DONVALE,C,2024-01-01 00:00:00
Olympic Parade,MAIDEN GULLY,ABC,2024-10-01 00:00:00
Olympic Parade,KANGAROO FLAT,ACD,2024-10-01 00:00:00
Omeo Highway,ESKDALE,ABC,2024-10-01 00:00:00
O'Neil Road,BEACONSFIELD,BC,2024-04-01 00:00:00
ONeills Road,MELTON,BCD,2024-05-02 00:00:00
Ontario Avenue,MILDURA,ABCD,2024-08-01 00:00:00
Oriel Road,IVANHOE,C,2024-08-01 00:00:00
Ormond Esplanade,ELWOOD,BC,2024-06-01 00:00:00
Ormond Road,EAST GEELONG,BC,2024-08-01 00:00:00
Ormond Road,MOONEE PONDS,C,2024-08-01 00:00:00
Orrong Road,TOORAK,C,2024-06-01 00:00:00
Overport Road,FRANKSTON,C,2024-09-01 00:00:00
Overton Lea Boulevard,SYDENHAM,BC,2024-05-02 00:00:00
Oxley Flats Road,WANGARATTA,ABC,2024-04-01 00:00:00
Pakenham Road,PAKENHAM,ABCD,2023-09-01 00:00:00
Palmerston Street,MELTON,C,2024-05-02 00:00:00
Panorama Avenue,LOWER PLENTY,BC,2024-08-01 00:00:00
Panton Street,GOLDEN SQUARE,CD,2024-10-01 00:00:00
Parer Road,AIRPORT WEST,BC,2024-08-01 00:00:00
Park Road,CHELTENHAM,AC,2024-03-01 00:00:00
Park Road,MARYBOROUGH,BCD,2024-10-01 00:00:00
Park Road,DONVALE,C,2024-01-01 00:00:00
Park Road,PARK ORCHARDS,C,2024-01-01 00:00:00
Park Street,SOUTH YARRA,ABCD,2024-07-01 00:00:00
Parkhill Road,KEW,ABCD,2024-06-01 00:00:00
Parkside Drive,SHEPPARTON,C,2024-08-01 00:00:00
Parwan-Exford Road,PARWAN,C,2024-05-02 00:00:00
Pascoe Vale Road,GLENROY,ABC,2024-08-01 00:00:00
Pascoe Vale Road,JACANA,ABC,2024-08-01 00:00:00
Pascoe Vale Road,MEADOW HEIGHTS,ABCD,2024-08-01 00:00:00
Pascoe Vale Road,COOLAROO,ABCD,2024-08-01 00:00:00
Pascoe Vale Road,OAK PARK,AC,2024-08-01 00:00:00
Pascoe Vale Road,PASCOE VALE,AC,2024-08-01 00:00:00
Pascoe Vale Road,ESSENDON,C,2024-08-01 00:00:00
Pascoe Vale Road,STRATHMORE,C,2024-08-01 00:00:00
Patten Street,SALE,C,2023-12-01 00:00:00
Patterson Avenue,KEILOR,C,2024-06-01 00:00:00
Paynesville Road,BAIRNSDALE,ABC,2023-12-01 00:00:00
Pearcedale Road,CRANBOURNE SOUTH,B,2024-04-01 00:00:00
Pearcedale Road,PEARCEDALE,B,2024-04-01 00:00:00
Peel Street,BALLARAT,C,2024-08-01 00:00:00
Pender Street,THORNBURY,BCD,2024-06-01 00:00:00
Perkins Road,LARA,ABCD,2024-08-01 00:00:00
Perry Road,KEYSBOROUGH,CD,2024-08-01 00:00:00
Phillip Island Road,SURF BEACH,AC,2024-09-01 00:00:00
Pickles Street,ALBERT PARK,ABCD,2024-06-01 00:00:00
Pillars Road,BANGHOLME,BC,2024-08-01 00:00:00
Pine Park Drive,WOLLERT,BCD,2024-08-01 00:00:00
Pioneer Road,GROVEDALE,BC,2024-08-01 00:00:00
Piries-Goughs Bay Road,PIRIES,C,2024-04-01 00:00:00
Pitfield-Scarsdale Road,CAPE CLEAR,ABCD,2024-08-01 00:00:00
Pitfield-Scarsdale Road,SPRINGDALLAH,ABCD,2024-08-01 00:00:00
Pitfield-Scarsdale Road,NEWTOWN,BCD,2024-08-01 00:00:00
Pitt Street,ELTHAM,BC,2024-08-01 00:00:00
Plantation Road,CORIO,BC,2024-08-01 00:00:00
Plenty River Drive,GREENSBOROUGH,BC,2024-08-01 00:00:00
Plenty Road,BUNDOORA,ABCD,2024-01-01 00:00:00
Plenty Road,MILL PARK,ABCD,2024-01-01 00:00:00
Plenty Road,RESERVOIR,ABCD,2024-08-01 00:00:00
Plenty Road,YAN YEAN,AC,2024-08-01 00:00:00
Plenty Road,MERNDA,BCD,2024-08-01 00:00:00
Plummer Street,PORT MELBOURNE,BCD,2024-06-01 00:00:00
Plumpton  Avenue,GLENROY,BC,2024-08-01 00:00:00
Plumpton Road,FRASER RISE,ABCD,2024-05-02 00:00:00
Plumpton Road,PLUMPTON,ABCD,2024-05-02 00:00:00
Poath Road,HUGHESDALE,B,2024-03-01 00:00:00
Point Cook Road,POINT COOK,ABCD,2023-09-01 00:00:00
Point Nepean Road,ROSEBUD,ABCD,T
Point Nepean Road,CAPEL SOUND,C,2024-09-01 00:00:00
Point Nepean Road,DROMANA,C,2024-09-01 00:00:00
Point Nepean Road,MCCRAE,C,2024-09-01 00:00:00
Point Nepean Road,TOOTGAROOK,C,2024-09-01 00:00:00
Point Richards Road,PORTARLINGTON,BC,2024-08-01 00:00:00
Police Road,SPRINGVALE,C,2024-08-01 00:00:00
Pollack Street,COLAC,C,2024-08-01 00:00:00
Port Fairy Road,BYADUK,C,2024-10-01 00:00:00
Port Fairy Road,HAMILTON,C,2024-10-01 00:00:00
Portarlington Road,MOOLAP,AC,2024-08-01 00:00:00
Portarlington-Queenscliff Road,MANNERIM,ABC,2024-08-01 00:00:00
Portland-Casterton Road,SANDFORD,C,T
Portland-Nelson Road,MOUNT RICHMOND,ABC,T
Portland-Nelson Road,PORTLAND,C,T
Pound Road,HAMPTON PARK,ABCD,2024-04-01 00:00:00
Pound Road,NARRE WARREN SOUTH,C,2024-04-01 00:00:00
Powells Avenue,EAST BENDIGO,C,2024-10-01 00:00:00
Power Road,ENDEAVOUR HILLS,B,2024-04-01 00:00:00
Powerscourt Street,MAFFRA,C,2023-12-01 00:00:00
Powlett Street,INVERLOCH,BC,2024-09-01 00:00:00
Prince Street,ROSEDALE,C,2023-12-01 00:00:00
Princes  Freeway,LONGWARRY,ABCD,T
Princes  Freeway,WARRAGUL,ABCD,T
Princes  Highway,MOE,ABCD,2024-02-01 00:00:00
Princes  Highway,EUMEMMERRING,BCD,2024-04-01 00:00:00
Princes Drive,MORWELL,ABCD,2024-02-01 00:00:00
Princes Freeway,WARRAGUL,ABC,T
Princes Freeway,MORWELL,ABCD,2024-02-01 00:00:00
Princes Freeway,NEWBOROUGH,ABCD,2024-02-01 00:00:00
Princes Freeway,NAR NAR GOON,ABCD,2024-04-01 00:00:00
Princes Freeway,DROUIN,ABCD,T
Princes Freeway,LONGWARRY NORTH,ABCD,T
Princes Freeway,BUNYIP NORTH,ABCD,T
Princes Freeway,BUNYIP,AC,2024-04-01 00:00:00
Princes Freeway,DARNUM,ACD,T
Princes Freeway,NILMA,ACD,T
Princes Freeway,GARFIELD,B,2024-04-01 00:00:00
Princes Freeway,TYNONG,B,2024-04-01 00:00:00
Princes Freeway,TYNONG NORTH,B,2024-04-01 00:00:00
Princes Freeway,PAKENHAM,BC,2024-04-01 00:00:00
Princes Freeway,LONGWARRY,BCD,T
Princes Highway,TERANG,ABC,2023-11-01 00:00:00
Princes Highway,PANMURE,ABC,2024-01-01 00:00:00
Princes Highway,NAR NAR GOON,ABC,2024-04-01 00:00:00
Princes Highway,HALLAM,ABC,2024-04-01 00:00:00
Princes Highway,GENOA,ABC,2024-05-02 00:00:00
Princes Highway,BELMONT,ABC,2024-08-01 00:00:00
Princes Highway,FLYNN,ABCD,2024-02-01 00:00:00
Princes Highway,MOE,ABCD,2024-02-01 00:00:00
Princes Highway,TRARALGON,ABCD,2024-02-01 00:00:00
Princes Highway,TRARALGON EAST,ABCD,2024-02-01 00:00:00
Princes Highway,OFFICER,ABCD,2024-04-01 00:00:00
Princes Highway,BERWICK,ABCD,2024-04-01 00:00:00
Princes Highway,WERRIBEE,ABCD,2024-04-01 00:00:00
Princes Highway,PAKENHAM,ABCD,2024-05-02 00:00:00
Princes Highway,YARRAGON,ABCD,2024-09-01 00:00:00
Princes Highway,HEYWOOD,AC,2023-11-01 00:00:00
Princes Highway,CLUB TERRACE,AC,2024-05-02 00:00:00
Princes Highway,POMBORNEIT,BC,2023-11-01 00:00:00
Princes Highway,PORT FAIRY,BC,2023-12-01 00:00:00
Princes Highway,JOHNSONVILLE,BC,2023-12-01 00:00:00
Princes Highway,LAKES ENTRANCE,BC,2023-12-01 00:00:00
Princes Highway,NOWA NOWA,BC,2023-12-01 00:00:00
Princes Highway,TOSTAREE,BC,2024-05-02 00:00:00
Princes Highway,OAKLEIGH EAST,BC,2024-06-01 00:00:00
Princes Highway,PIRRON YALLOCK,BC,2024-08-01 00:00:00
Princes Highway,HUNTINGDALE,BCD,2024-06-01 00:00:00
Princes Highway,ALLANSFORD,C,2023-11-01 00:00:00
Princes Highway,MUMBANNAR,C,2023-11-01 00:00:00
Princes Highway,LUCKNOW,C,2023-12-01 00:00:00
Princes Highway,CABBAGE TREE CREEK,C,2024-05-02 00:00:00
Princes Highway,MANORINA,C,2024-05-02 00:00:00
Princes Highway,MCKENZIE RIVER,C,2024-05-02 00:00:00
Princes Highway,NEWMERELLA,C,2024-05-02 00:00:00
Princes Highway,ORBOST,C,2024-05-02 00:00:00
Princes Highway,WAYGARA,C,2024-05-02 00:00:00
Princes Highway,SPRINGVALE,C,2024-08-01 00:00:00
Princes Highway,TRAFALGAR,C,T
Princes Highway,DRUMBORG,C,T
Princes Highway,GREENWALD,C,T
Princes Highway,NARRAWONG,C,T
Princes Highway,TYRENDARRA,C,T
Princes Way,DROUIN,ABCD,2024-09-01 00:00:00
Princes Way,LONGWARRY NORTH,ABCD,2024-09-01 00:00:00
Princes Way,WARRAGUL,ABCD,T
Princes Way,LONGWARRY,ACD,T
Princess Street,KEW,ACD,2024-07-01 00:00:00
Progress Road,ELTHAM NORTH,BC,2024-08-01 00:00:00
Promontory Road,YANAKIE,C,2024-09-01 00:00:00
Prospect Hill Road,NARRE WARREN,BC,2024-04-01 00:00:00
Prouses Road,CALIFORNIA GULLY,BCD,2024-10-01 00:00:00
Purnell Road,CORIO,ABCD,2024-08-01 00:00:00
Pyke Street,QUARRY HILL,C,2024-10-01 00:00:00
Pyrenees Highway,ELMHURST,BC,2024-02-01 00:00:00
Pyrenees Highway,AMPHITHEATRE,BC,2024-08-01 00:00:00
Pyrenees Highway,CASTLEMAINE,BCD,2024-05-02 00:00:00
Pyrenees Highway,ARARAT,C,2024-10-01 00:00:00
Pyrenees Highway,EVERSLEY,C,2024-10-01 00:00:00
Quarry Road,LANGWARRIN,ABC,2024-09-01 00:00:00
Queen Street,WARRAGUL,ABCD,2024-09-01 00:00:00
Queen Street,ALTONA,ABCD,T
Queen Street,MAFFRA,B,2023-12-01 00:00:00
Queen Street,ALTONA,C,2023-08-01 00:00:00
Queens Avenue,CAULFIELD EAST,ABCD,2024-07-01 00:00:00
Racecourse Road,PAKENHAM,BC,2024-04-01 00:00:00
Racecourse Road,ASCOT,C,2024-10-01 00:00:00
Radford Road,RESERVOIR,ABCD,2024-08-01 00:00:00
Raglan Street,PRESTON,AC,2024-08-01 00:00:00
Raglan Street,SALE,C,2023-12-01 00:00:00
Railway Avenue,WERRIBEE,C,2023-08-01 00:00:00
Raleigh Street,WESTMEADOWS,C,2024-08-01 00:00:00
Ranfurly Way,MILDURA,ABCD,2024-08-01 00:00:00
Rattray Road,MONTMORENCY,AC,2024-08-01 00:00:00
Rea Street,SHEPPARTON,ABC,2024-08-01 00:00:00
Recreation Road,YAN YEAN,B,2024-08-01 00:00:00
Rees Road,MELTON SOUTH,C,2024-05-02 00:00:00
Reeve Street,SALE,C,2023-12-01 00:00:00
Regent Street,MERNDA,BCD,2024-08-01 00:00:00
Reid Parade,HASTINGS,AB,2024-09-01 00:00:00
Remembrance Drive,CARDIGAN,AC,2024-08-01 00:00:00
Research Warrandyte Road,RESEARCH,BC,2024-08-01 00:00:00
Research-Warrandyte Road,NORTH WARRANDYTE,BC,2024-08-01 00:00:00
Reserve Road,CHELTENHAM,AC,2024-03-01 00:00:00
Reservoir Road,SUNBURY,C,2024-08-01 00:00:00
Reservoir Road,KENNINGTON,C,2024-10-01 00:00:00
Retreat Road,SPRING GULLY,BCD,2024-10-01 00:00:00
Reynolds Parade,PASCOE VALE SOUTH,C,2024-08-01 00:00:00
Reynolds Road,TEMPLESTOWE,ABC,2024-06-01 00:00:00
Rhodes Parade,PASCOE VALE,C,2024-08-01 00:00:00
Riddell Road,SUNBURY,AC,2024-08-01 00:00:00
Riggall Street,DALLAS,C,2024-08-01 00:00:00
Ring Road,ALFREDTON,ABCD,2024-08-01 00:00:00
Rippon Road,HAMILTON,BC,2024-10-01 00:00:00
River Avenue,MERBEIN SOUTH,ABCD,2024-08-01 00:00:00
River Drive,TARWIN LOWER,C,2024-09-01 00:00:00
River Road,COBRAM,C,2024-05-02 00:00:00
River Road,MURCHISON,C,2024-08-01 00:00:00
Riverine Street,BAIRNSDALE,C,2023-12-01 00:00:00
Riverside Avenue,MILDURA,BC,2024-08-01 00:00:00
Riverview Drive,KIALLA,ABCD,T
Robinsons Road,LANGWARRIN,AB,2024-09-01 00:00:00
Robinsons Road,FRANKSTON,ABC,2024-09-01 00:00:00
Robinsons Road,LANGWARRIN SOUTH,ABC,2024-09-01 00:00:00
Robinsons Road,PEARCEDALE,B,2024-04-01 00:00:00
Robinvale-Sea Lake Road,ROBINVALE,BC,2023-09-01 00:00:00
Rockbank Middle Road,CAROLINE SPRINGS,ABCD,2024-10-01 00:00:00
Rohs Road,EAST BENDIGO,BCD,2024-10-01 00:00:00
Rokewood-Shelford Road,ROKEWOOD,ABCD,2024-08-01 00:00:00
Rokewood-Skipton Road,ROKEWOOD,ABCD,2024-08-01 00:00:00
Rosedale-Heyfield Road,WINNINDOO,ABC,2023-12-01 00:00:00
Rosedale-Longford Road,LONGFORD,ABC,2023-12-01 00:00:00
Rosehill Road,LOWER PLENTY,BCD,2024-08-01 00:00:00
Rosehill Road,KEILOR EAST,C,2024-08-01 00:00:00
Rosella Avenue,WERRIBEE,C,2024-07-01 00:00:00
Rowan Drive,KEALBA,C,2024-06-01 00:00:00
Rowan Street,WANGARATTA,ABCD,2024-08-01 00:00:00
Rowes Road,WERRIBEE,C,2023-08-01 00:00:00
Roxburgh Park Drive,ROXBURGH PARK,C,2024-08-01 00:00:00
Royal Parade,PARKVILLE,A,2024-08-01 00:00:00
Roycroft Avenue,MILL PARK,C,2024-08-01 00:00:00
Rushworth Road,MURCHISON,BC,2024-08-01 00:00:00
Rushworth-Tatura Road,RUSHWORTH,C,2024-05-02 00:00:00
Russell Street,BALLARAT,C,2024-08-01 00:00:00
Russell Street,CASTERTON,C,T
Ryans Road,ELTHAM NORTH,ABCD,2024-08-01 00:00:00
Ryrie Street,EAST GEELONG,ABCD,T
Ryrie Street,GEELONG,BCD,2024-08-01 00:00:00
Sages Road,BAXTER,BC,2024-09-01 00:00:00
Sailors Gully Road,EAGLEHAWK,C,2024-10-01 00:00:00
Sailors Gully Road,SAILORS GULLY,C,2024-10-01 00:00:00
Sale-Heyfield Road,DENISON,ABC,2023-12-01 00:00:00
Sale-Heyfield Road,FULHAM,C,2023-12-01 00:00:00
Salmon Street,PORT MELBOURNE,BCD,2024-08-01 00:00:00
Salmon Street,HASTINGS,C,2024-09-01 00:00:00
Saltlake Boulevard,WOLLERT,BCD,2024-08-01 00:00:00
Saltwater Promenade,POINT COOK,BC,2023-08-01 00:00:00
Samaria Road,BENALLA,C,2024-04-01 00:00:00
San Mateo Avenue,MILDURA,ABCD,2024-08-01 00:00:00
Sand Road,LONGWARRY,ACD,T
Sanders Road,HAZELWOOD NORTH,BC,2024-02-01 00:00:00
Sandhurst Road,CALIFORNIA GULLY,ABCD,2024-10-01 00:00:00
Sandilong Avenue,IRYMPLE,BC,2024-08-01 00:00:00
Sandpiper Drive,TAYLORS LAKES,BC,2024-05-02 00:00:00
Saxonwood Drive,NARRE WARREN,BC,2024-04-01 00:00:00
Sayers Road,TARNEIT,ABCD,2024-04-01 00:00:00
Sayers Road,TRUGANINA,ABCD,2024-04-01 00:00:00
Sayers Road,HOPPERS CROSSING,C,2023-08-01 00:00:00
Schotters Road,MERNDA,ABCD,2024-08-01 00:00:00
Scott Parade,BROWN HILL,ABCD,2024-08-01 00:00:00
